Skipped videos:  0
1780
Skipped videos:  0
258
Epoch 095 - Val   Loss: 4.5702 | Acc: 1.55% | F1: 0.0005
Epoch 096 - Train Loss: 4.5804 | Acc: 2.02% | F1: 0.0008
Epoch 096 - Val   Loss: 4.5718 | Acc: 1.55% | F1: 0.0005
Epoch 097 - Train Loss: 4.5787 | Acc: 2.02% | F1: 0.0008
Epoch 097 - Val   Loss: 4.5691 | Acc: 1.55% | F1: 0.0005
Epoch 098 - Train Loss: 4.5824 | Acc: 2.02% | F1: 0.0008
Epoch 098 - Val   Loss: 4.5695 | Acc: 1.55% | F1: 0.0005
Epoch 099 - Train Loss: 4.5842 | Acc: 2.02% | F1: 0.0008
Epoch 099 - Val   Loss: 4.5704 | Acc: 1.55% | F1: 0.0005
Epoch 100 - Train Loss: 4.5811 | Acc: 2.02% | F1: 0.0008
Epoch 100 - Val   Loss: 4.5682 | Acc: 1.55% | F1: 0.0005

Training complete. Best validation accuracy: 1.55%
