Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 10/86] Loss: 4.6607 | Cls: 4.6605 | Loc: 4.6610
  [Batch 20/86] Loss: 4.5519 | Cls: 4.5515 | Loc: 4.5524
  [Batch 30/86] Loss: 4.5075 | Cls: 4.5065 | Loc: 4.5085
  [Batch 40/86] Loss: 4.5531 | Cls: 4.5514 | Loc: 4.5548
  [Batch 50/86] Loss: 4.6558 | Cls: 4.6543 | Loc: 4.6572
  [Batch 60/86] Loss: 4.5889 | Cls: 4.5883 | Loc: 4.5896
  [Batch 70/86] Loss: 4.5406 | Cls: 4.5398 | Loc: 4.5415
  [Batch 80/86] Loss: 4.8108 | Cls: 4.8100 | Loc: 4.8117
  [Batch 86/86] Loss: 4.6594 | Cls: 4.6580 | Loc: 4.6608
Epoch 2 Val - Loc Loss: 4.6121 | Cls Loss: 4.6104 | Tot Loss: 4.6113 | Acc: 1.55% | F1: 0.0005
--------------------------------------------------------------------------------
  [Batch 10/594] Loss: 4.7208 | Cls: 4.7169 | Loc: 4.7246
  [Batch 20/594] Loss: 4.6969 | Cls: 4.6941 | Loc: 4.6997
  [Batch 30/594] Loss: 4.6493 | Cls: 4.6464 | Loc: 4.6522
  [Batch 40/594] Loss: 4.5492 | Cls: 4.5473 | Loc: 4.5510
  [Batch 50/594] Loss: 4.6496 | Cls: 4.6471 | Loc: 4.6520
  [Batch 60/594] Loss: 4.6364 | Cls: 4.6348 | Loc: 4.6379
  [Batch 70/594] Loss: 4.7047 | Cls: 4.7031 | Loc: 4.7063
  [Batch 80/594] Loss: 4.5785 | Cls: 4.5765 | Loc: 4.5806
  [Batch 90/594] Loss: 4.6427 | Cls: 4.6404 | Loc: 4.6450
  [Batch 100/594] Loss: 4.5799 | Cls: 4.5776 | Loc: 4.5822
  [Batch 110/594] Loss: 4.5947 | Cls: 4.5923 | Loc: 4.5970
  [Batch 120/594] Loss: 4.6563 | Cls: 4.6543 | Loc: 4.6583
  [Batch 130/594] Loss: 4.5698 | Cls: 4.5663 | Loc: 4.5732
  [Batch 140/594] Loss: 4.5831 | Cls: 4.5815 | Loc: 4.5847
  [Batch 150/594] Loss: 4.5225 | Cls: 4.5207 | Loc: 4.5244
  [Batch 160/594] Loss: 4.6459 | Cls: 4.6438 | Loc: 4.6480
  [Batch 170/594] Loss: 4.6198 | Cls: 4.6180 | Loc: 4.6217
  [Batch 180/594] Loss: 4.6388 | Cls: 4.6370 | Loc: 4.6407
