Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 90/594] Loss: 4.4148 | Cls: 4.4042 | Loc: 4.4254
  [Batch 100/594] Loss: 4.3856 | Cls: 4.3734 | Loc: 4.3978
  [Batch 110/594] Loss: 4.2080 | Cls: 4.1982 | Loc: 4.2177
  [Batch 120/594] Loss: 4.4970 | Cls: 4.4847 | Loc: 4.5093
  [Batch 130/594] Loss: 4.1810 | Cls: 4.1703 | Loc: 4.1917
  [Batch 140/594] Loss: 3.9757 | Cls: 3.9668 | Loc: 3.9846
  [Batch 150/594] Loss: 4.2342 | Cls: 4.2227 | Loc: 4.2457
  [Batch 160/594] Loss: 4.3965 | Cls: 4.3868 | Loc: 4.4062
  [Batch 170/594] Loss: 4.4245 | Cls: 4.4133 | Loc: 4.4357
  [Batch 180/594] Loss: 4.2996 | Cls: 4.2886 | Loc: 4.3107
  [Batch 190/594] Loss: 4.1650 | Cls: 4.1529 | Loc: 4.1772
  [Batch 200/594] Loss: 3.9957 | Cls: 3.9840 | Loc: 4.0075
  [Batch 210/594] Loss: 3.7199 | Cls: 3.7075 | Loc: 3.7324
  [Batch 220/594] Loss: 4.3145 | Cls: 4.3043 | Loc: 4.3247
  [Batch 230/594] Loss: 3.9795 | Cls: 3.9692 | Loc: 3.9899
  [Batch 240/594] Loss: 4.4169 | Cls: 4.4064 | Loc: 4.4274
  [Batch 250/594] Loss: 4.3908 | Cls: 4.3782 | Loc: 4.4034
  [Batch 260/594] Loss: 4.2305 | Cls: 4.2152 | Loc: 4.2458
  [Batch 270/594] Loss: 4.1675 | Cls: 4.1544 | Loc: 4.1805
  [Batch 280/594] Loss: 4.3391 | Cls: 4.3289 | Loc: 4.3494
  [Batch 290/594] Loss: 4.5012 | Cls: 4.4894 | Loc: 4.5130
  [Batch 300/594] Loss: 4.2884 | Cls: 4.2761 | Loc: 4.3008
  [Batch 310/594] Loss: 4.4843 | Cls: 4.4724 | Loc: 4.4962
  [Batch 320/594] Loss: 4.5057 | Cls: 4.4891 | Loc: 4.5223
  [Batch 330/594] Loss: 4.2926 | Cls: 4.2773 | Loc: 4.3079
  [Batch 340/594] Loss: 4.4236 | Cls: 4.4111 | Loc: 4.4360
  [Batch 350/594] Loss: 4.2717 | Cls: 4.2608 | Loc: 4.2826
  [Batch 360/594] Loss: 4.0652 | Cls: 4.0522 | Loc: 4.0781
  [Batch 370/594] Loss: 4.4665 | Cls: 4.4553 | Loc: 4.4777
  [Batch 380/594] Loss: 4.2358 | Cls: 4.2253 | Loc: 4.2464
  [Batch 390/594] Loss: 4.2400 | Cls: 4.2293 | Loc: 4.2506
  [Batch 400/594] Loss: 3.8370 | Cls: 3.8236 | Loc: 3.8505
  [Batch 410/594] Loss: 3.9634 | Cls: 3.9518 | Loc: 3.9749
  [Batch 420/594] Loss: 4.1877 | Cls: 4.1771 | Loc: 4.1984
  [Batch 430/594] Loss: 4.2185 | Cls: 4.2061 | Loc: 4.2309
  [Batch 440/594] Loss: 4.5628 | Cls: 4.5509 | Loc: 4.5747
  [Batch 450/594] Loss: 3.9610 | Cls: 3.9494 | Loc: 3.9726
  [Batch 460/594] Loss: 4.2801 | Cls: 4.2686 | Loc: 4.2916
  [Batch 470/594] Loss: 4.1832 | Cls: 4.1685 | Loc: 4.1978
  [Batch 480/594] Loss: 4.4120 | Cls: 4.3988 | Loc: 4.4252
  [Batch 490/594] Loss: 4.2934 | Cls: 4.2790 | Loc: 4.3077
  [Batch 500/594] Loss: 3.7825 | Cls: 3.7582 | Loc: 3.8067
  [Batch 510/594] Loss: 4.3499 | Cls: 4.3358 | Loc: 4.3640
  [Batch 520/594] Loss: 4.6918 | Cls: 4.6772 | Loc: 4.7064
  [Batch 530/594] Loss: 3.6176 | Cls: 3.5927 | Loc: 3.6425
  [Batch 540/594] Loss: 4.2015 | Cls: 4.1879 | Loc: 4.2151
  [Batch 550/594] Loss: 4.1966 | Cls: 4.1823 | Loc: 4.2110
  [Batch 560/594] Loss: 3.9618 | Cls: 3.9474 | Loc: 3.9763
  [Batch 570/594] Loss: 4.4093 | Cls: 4.3981 | Loc: 4.4204
  [Batch 580/594] Loss: 4.6421 | Cls: 4.6301 | Loc: 4.6541
  [Batch 590/594] Loss: 4.2858 | Cls: 4.2703 | Loc: 4.3012
Epoch 3 Train - Loc Loss: 4.2767 | Cls Loss: 4.2516 | Tot Loss: 4.2641 | Acc: 13.20% | F1: 0.0970
Epoch 3 Val - Loc Loss: 4.1558 | Cls Loss: 4.1322 | Tot Loss: 4.1440 | Acc: 13.95% | F1: 0.0843

Best model saved at epoch 3 with Acc: 13.95%, F1: 0.0843

  [Batch 10/594] Loss: 4.2747 | Cls: 4.2618 | Loc: 4.2875
  [Batch 20/594] Loss: 4.2515 | Cls: 4.2375 | Loc: 4.2655
  [Batch 30/594] Loss: 4.1282 | Cls: 4.1129 | Loc: 4.1435
  [Batch 40/594] Loss: 4.0875 | Cls: 4.0741 | Loc: 4.1010
  [Batch 50/594] Loss: 4.3460 | Cls: 4.3313 | Loc: 4.3607
  [Batch 60/594] Loss: 4.0239 | Cls: 4.0051 | Loc: 4.0426
  [Batch 70/594] Loss: 4.1796 | Cls: 4.1640 | Loc: 4.1951
  [Batch 80/594] Loss: 4.0474 | Cls: 4.0292 | Loc: 4.0656
  [Batch 90/594] Loss: 4.3357 | Cls: 4.3228 | Loc: 4.3486
  [Batch 100/594] Loss: 4.1328 | Cls: 4.1169 | Loc: 4.1486
  [Batch 110/594] Loss: 3.9884 | Cls: 3.9745 | Loc: 4.0023
  [Batch 120/594] Loss: 4.3428 | Cls: 4.3287 | Loc: 4.3570
  [Batch 130/594] Loss: 4.1207 | Cls: 4.1072 | Loc: 4.1343
  [Batch 140/594] Loss: 4.4209 | Cls: 4.4035 | Loc: 4.4383
  [Batch 150/594] Loss: 4.0825 | Cls: 4.0643 | Loc: 4.1007
  [Batch 160/594] Loss: 4.4412 | Cls: 4.4271 | Loc: 4.4552
  [Batch 170/594] Loss: 4.3383 | Cls: 4.3216 | Loc: 4.3549
